Date,Type,TransactionAmount,IpSource,AddressSource,BalanceSource,IpDestination,AddressDestination,BalanceDestination,Fraud
2021-12-23,Account Creation,,112.203.228.24,aleo1ekualfc4ksmx6r23xfwsey7de8m3ukceqxmeg6uca7ppasxq4u8sg582qq,,,,,0
2021-12-23,Account Creation,,189.48.136.104,aleo1q865tp9vryfrcytzfgxdzy32wy04m6hq374xfxr7du78vt3k5ursz8p8d4,,,,,0
2021-12-23,Account Creation,,238.113.30.249,aleo1x6umtzdzjssx8t89xhpj2cev35cv93s4h2ms9608l0jpzu0g4yzsnt684g,,,,,0
2021-12-23,Account Creation,,222.192.120.242,aleo1022vme7y4d55fznml40wq8l7r8ghc5q8593dg4r3cxjcs7p2lqxspgg7h9,,,,,0
2021-12-23,Account Creation,,51.172.116.204,aleo1awxrtukerqph56ejlsv4lmvr4dwz7fyz2xnmk80h73xg4yyxju8sa5xp7q,,,,,0
2021-12-23,Account Creation,,43.207.22.14,aleo1krqpmsnlvc8e3vsf375p8nj9exv9g4t02mm7wznfqkpkj04y8sfq2ad5lq,,,,,0
2021-12-23,Account Creation,,245.57.112.240,aleo15smp7h52q29z0wtnqd0zszucx2xlp0w9h6mj8gjlm7rdrlkhuszsyfxpjp,,,,,0
2021-12-23,Account Creation,,186.23.121.224,aleo10w5svq6naxt3uqvwr66sdzvvmyquklzx8n34qm5m2wa3k59jcgyqlz3ams,,,,,0
2021-12-23,Account Creation,,35.102.65.188,aleo1egk23l89vg5up5j7fe90gpcgqj9cm3g35xemx5sw7yx7q9g08q8qxxtkuf,,,,,0
2021-12-23,Account Creation,,82.128.142.161,aleo17p4j5hlvzjz5kgs4xhkmnrykdz75e6jc6ky8gflv3mdet9he9ygqma89h7,,,,,0
2021-12-23,Account Creation,,239.162.247.5,aleo1d0k7zxf54d8ukj6tsgrnmfc3mnh72cv24eruccnwe5zwjx0uvvpstpp8pp,,,,,0
2021-12-23,Account Creation,,154.108.209.83,aleo16pf7qtdh6xmy37nuds3ptqu26a2cwnwrtgyn8fuq728fseh8ksyq4wam7j,,,,,0
2021-12-23,Account Creation,,61.95.176.195,aleo1xhgvysu5rg794fhzak3w4vrqayhf8xw7gkn5v2p7yvzfuelh5qrs0jjmmg,,,,,0
2021-12-23,Account Creation,,99.145.125.186,aleo1hs8sllgvpu79r72jjdqtmmm3m2ygeg6gduzl53erngdjktcunygskktygc,,,,,0
2021-12-23,Account Creation,,42.177.242.247,aleo1e5svtay5qsfmy90tdx2ty88yszcph343q2aws57yt58hhx5m3vzqvt3s4v,,,,,0
2021-12-23,Account Creation,,238.160.138.59,aleo1a7uj7zzxww8qc84cruk6ruyk2a9chsygmvsud5982s57249v6uxs8fzn7r,,,,,0
2021-12-23,Account Creation,,99.219.189.32,aleo1mrct7mytscfautmhk85nue2ygyqv4zlqvuzgf89pswdzts7yq5xqhzymnu,,,,,0
2021-12-23,Account Creation,,148.53.154.131,aleo1tw2mc4j0lyvfr8p2al69js8kemqx2v2cpfjpge5p5h6cpjnzqupsf2x030,,,,,0
2021-12-23,Account Creation,,248.142.37.231,aleo1gtczljn90q7xqv0gudkl3fejjls4nr8szl5e93du47llaa3yasgqstq0zk,,,,,0
2021-12-23,Account Creation,,15.106.74.40,aleo18rpa6lmddgpdcctvstuf3wgxay7gkykskudu6ha48y45qntzjuyqfwyar2,,,,,0
2021-12-23,Account Creation,,52.223.1.238,aleo19vq8rd7vpyzaffaweyqt0cz8mesnedxqsp662zv8fycev8ewwcxqjyx8e6,,,,,0
2021-12-23,Account Creation,,167.132.132.39,aleo1xwg4rgafeqkq0cxu8hwyc5lgce39zf9mnjjcqtr7e2lsn3kznurs5n39td,,,,,0
2021-12-23,Account Creation,,167.82.163.84,aleo1fuuy2jv28y4u03vf244sna4l3sux0lrhzvrkgezkgymq2v77wgyq0sgm5d,,,,,0
2021-12-23,Account Creation,,118.34.25.21,aleo14xe9h5u4xc0fk2y7na9usvgqsxx04d39zs7r9rhh8rjwcv73yyysgdwm9z,,,,,0
2021-12-23,Account Creation,,150.185.33.192,aleo1zrf2772r8t3xw8aqqdugksd7h8ustewwnrsce6zzz0y04nfmd58s6m30l9,,,,,0
2021-12-23,Account Creation,,8.96.175.76,aleo16arammqhngnluy7y39yzgtxxumm8krzkleuhg0em77zy6yn5a5qs2kpcx8,,,,,0
2021-12-23,Account Creation,,64.50.206.28,aleo15797jxh0ulf9fl5fune2n74r4k8z495vjrl9fq0kcxffqc8n0cqqthyjjq,,,,,0
2021-12-23,Account Creation,,162.204.192.100,aleo1w9r58f09knl006rk4zx4smgkeuw2qsqkqmg3hs4qle8msmexsvgs8q8es2,,,,,0
2021-12-23,Account Creation,,100.87.124.130,aleo1fzawl85pq0g4cjvx5uwecrw0sc36qjvwtt4u5gh4smqhse8dsgzqdtqrxk,,,,,0
2021-12-23,Account Creation,,213.43.62.133,aleo1vpst4psefucyhsrjq368t7pzljlhz7c4e4arlglhr80698nufspssaw3ve,,,,,0
2021-12-23,Account Creation,,109.218.181.151,aleo1mfqp3ch40edvdjqkx2d5dp3qj6vaggmhzext2jamz92z5klrtufqfx7j5r,,,,,0
2021-12-23,Account Creation,,202.207.167.86,aleo1qp0j47wfxpg0mjudrm5lmxldmaeypry9ur555c2u63m7p85c6yzsn3sme2,,,,,0
2021-12-23,Account Creation,,176.193.35.177,aleo1rns9528mvqk5xkywztwyhdge0wvrqexxhqtlwv8qzyhjj56n6ypqh59zc2,,,,,0
2021-12-23,Account Creation,,13.60.90.238,aleo1j36xcn4hwy5ghl0kxgzuujxmssdjjf6u7z9vz3sk5sw7xwrecvrqufr36w,,,,,0
2021-12-23,Account Creation,,58.73.123.28,aleo10jzdc7vm9vpyq0vhqqccr4emyr3gf3jayvjly9a7hwu6hrcwdurqf3n6wg,,,,,0
2021-12-23,Account Creation,,206.111.99.154,aleo1hddcdclmq62593ywvemh33qz83fkc3dqfunnxhlnqzruy08ejg9q870m6t,,,,,0
2021-12-23,Account Creation,,223.182.203.56,aleo1kq2s84c4amfvy6uzt0u4ygces9ml8f4pl078vpeqew25ula8xyqqv87frj,,,,,0
2021-12-23,Account Creation,,206.24.73.87,aleo1wfssw07wfdujejt6srw4vasznjvg0levkh6876933a8c54776szs93qk0n,,,,,0
2021-12-23,Account Creation,,90.49.181.15,aleo14cyl74dtr8l2j8j5a2hre6qr6nmqktwgt4xmxtfwe9zp8gy6cuzq0j8ca0,,,,,0
2021-12-23,Account Creation,,68.106.56.167,aleo1s65yhzhttxj8fdkdh6rqzdey87z3e5fde3fljm3cwme8zjr825qq7l7td8,,,,,0
2021-12-23,Account Creation,,70.218.133.141,aleo1zswsqx4st8knp0cpas2ycd5pvsxltnymvlvw0aqy74070s8shv8qkq896j,,,,,0
2021-12-23,Account Creation,,5.238.106.4,aleo1nuc26rz7jjxenny20qv3sedhaf7kpj6eld9w7jevwmx6kxt2kgyquwe87z,,,,,0
2021-12-23,Account Creation,,28.235.247.191,aleo18n8wng3q0gpdu3wl02xqa8ak85xuqmcenfzgtcqjhwd7xel0jgrql9d5rh,,,,,0
2021-12-23,Account Creation,,61.239.45.0,aleo1y0df8gh3x86qurszuxvee5vkk9tqejranqvck36j0yjf6h3vygpspd57fu,,,,,0
2021-12-23,Account Creation,,138.54.203.137,aleo1gyyfw5n062cahpv7mhggyfqksyt9s2m2dtvh2q0rpxq9vk3ams9qgx9a55,,,,,0
2021-12-23,Account Creation,,74.192.219.37,aleo1jwn97we6st6g8dwn8mhc28m3q8ay8v5udda2y4nxjaf259t2qq8q7a53ee,,,,,0
2021-12-23,Account Creation,,42.197.28.254,aleo1y6nzv44dk9wqsx65nt70yw3j2fpg5dfyxwwn9gt4dwcejv7zavrqjvvzml,,,,,0
2021-12-23,Account Creation,,74.85.35.11,aleo1sgyks5ua7gddfjgrdad4vmk0ws52qc74qertng0flwe9eqq2u59q5uff0t,,,,,0
2021-12-23,Account Creation,,250.255.107.154,aleo1a8jexwuvy3vwvh960vaypckfucchj288gsxvessml9f9vw4p2vzsy9ddkl,,,,,0
2021-12-23,Account Creation,,183.249.33.210,aleo1qqwpwk9h3mqw98hejguhn0ew59s4tjhnpw4ph77rc0jpmenxru9qj5hnmx,,,,,0
2021-12-23,Deposit,100.0,112.203.228.24,aleo1ekualfc4ksmx6r23xfwsey7de8m3ukceqxmeg6uca7ppasxq4u8sg582qq,100.0,,,,0
2021-12-23,Deposit,200.0,189.48.136.104,aleo1q865tp9vryfrcytzfgxdzy32wy04m6hq374xfxr7du78vt3k5ursz8p8d4,200.0,,,,0
2021-12-23,Deposit,150.0,238.113.30.249,aleo1x6umtzdzjssx8t89xhpj2cev35cv93s4h2ms9608l0jpzu0g4yzsnt684g,150.0,,,,0
2021-12-23,Deposit,50.0,222.192.120.242,aleo1022vme7y4d55fznml40wq8l7r8ghc5q8593dg4r3cxjcs7p2lqxspgg7h9,50.0,,,,0
2021-12-23,Deposit,0.0,51.172.116.204,aleo1awxrtukerqph56ejlsv4lmvr4dwz7fyz2xnmk80h73xg4yyxju8sa5xp7q,0.0,,,,0
